study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S195,37976548,10.1088/1361-6560/ad0ddc,2023,Mitigating misalignment in MRI-to-CT synthesis for improved synthetic CT generation: an iterative refinement and knowledge distillation approach.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S196,37010491,10.1002/mrm.29642,2023,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,data sets synthesized from the high-resolution 3T brain data from the Human Connectome Project. They were applied to 0.055T brain MRI with two repetitions a,HCP;Human Connectome;UK Biobank;UK biobank;fastMRI,Expert reader consensus,prospective,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S197,37604079,10.1016/j.neunet.2023.08.004,2023,Sinogram upsampling using Primal-Dual UNet for undersampled CT and radial MRI reconstruction.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"ochs with an effective batch size of 32, 1PD-UNet on GitHub: `https://github.com/phernst/pd-unet` the best epoch was chosen based on the validation loss and 2IXI Datas",yes,"iving output differentfferenterent organs were used in this research: IXI dataset<sup>2</sup> from that block, they were de-normalised. This wa",IXI;ixi,Fully sampled acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S198,38043105,10.1002/mp.16850,2024,A novel loss function to reproduce texture features for deep learning-based MRI-to-CT synthesis.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"re automatically extracted from the ROIs (GTVnx and outline) using an open-source program for radiomic analysis (Pyradiomics library, version 1.2.0). T",yes,"GLCM features, which are typical texture features. Besides, we used a publicly available dataset of brain tumors to verify our loss function. RESULTS: Compared wi",,Expert reader consensus,retrospective,multi-centre,standardize CT images acquired using different imaging protocols for multicenter radiomics analysis.<sup>26</sup> Pan et al. employed a GAN with a sel,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S199,37877463,10.1002/jmri.29088,2024,Deep Learning-Driven Transformation: A Novel Approach for Mitigating Batch Effects in Diffusion MRI Beyond Traditional Harmonization.,Diagnostic accuracy / reader study,"Retrospective single-center technical study: DL harmonization of DWI (Attention U-Net contrast adjustment + REDNet super-resolution) evaluated with quantitative fidelity metrics (PSNR/SSIM, GLCM, PSD, Dice on 84 lesions) under single-radiologist oversight; no formal multi-reader study",QUADAS-2,full text,1,,yes,Unclear,The inclusion criteria were adult subjects who underwent MRI scans with diffusion-weighted images (DWIs). Exclusion criteria included subjects with artifacts in the images and incomplete imaging data.,"Inclusion/exclusion criteria are stated but consecutive or random sampling is not described, and pathology cases were removed from the main harmonization dataset, suggesting a purposive normal-enriched sample.",High,"An experienced, board-certified radiologist evaluated the effectiveness of restoring high-resolution T2WI and harmonizing diverse DWI with metrics such as PSNR and SSIM","The only human evaluation was by a single unblinded reader who is a study author, with reference/original images visible; no acceptability thresholds (e.g., for Dice) were prespecified.",Low,Various low-resolution images were created by down-sampling the high-resolution T2WIs in the dataset.,"Ground truth is known by construction: degradations were synthetically applied to acquired originals, and lesion reproducibility (Dice) was measured against the original acquired images.",Unclear,"Cases with abnormally high signals indicating conditions such as stroke, tumor, or inflammation and those with space-occupying lesions were excluded from the study.","Retrospective processing of the same acquisitions gives zero interval, but pathology was excluded from the main analysis and evaluated only in a separate 84-image set, and artifact/incomplete-data exclusion counts are not reported.",Low,The MRI data were obtained from a diverse patient population aged 20 years and older.,"Adult clinical brain MRI cohort across seven scanners from four vendors matches the human brain MRI setting of the review, though the main dataset under-represents pathology.",High,"we have developed a method that preprocesses all images to produce high-quality input data, thereby reducing diversity.","The intervention is image-domain harmonization/super-resolution preprocessing of already-reconstructed images, not reconstruction from undersampled k-space, so it is clearly mismatched to the review's index test.",Low,"the Dice coefficient for reproducing high-signal abnormalities in transformed images was above 0.74 for all 84 analyzed lesions, including high-intensity strokes and tumors","Using original acquired images and known synthetic degradations as truth is an appropriate fidelity reference for the safety question, including lesion-preservation assessment.",not stated,,not stated,,,Expert reader consensus,both stated,multi-centre,"on corrects site effects in functional connectivity measurements from multi-site fMRI data. Hum Brain Mapp 2018;39(11):4213-4227. 5. Cercignani M, B",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,Appraised in the post-registration round (2026-08-07) and independently verified by the three reviewers (2026-08-07); ratings confirmed without change.
S200,38808752,10.1002/nbm.5179,2024,Deep-learning-based motion correction using multichannel MRI data: a study using simulated artifacts in the fastMRI dataset.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,partial full text (truncated),,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,using multichannel MRI data: a study using simulated artifacts in the fastMRI dataset. Deep learning presents a generalizable solution for motion c,fastMRI,Expert reader consensus,retrospective,multi-centre,ed using simulated rigid motion artifacts in brain images acquired at multiple sites with multiple contrasts (not limited to healthy subjects). We compare,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S201,37665773,10.1002/mp.16724,2024,GAN-based metal artifacts region inpainting in brain MRI imaging with reflective registration.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Conventional/standard-of-care acquisition,retrospective,not stated,"ents in our hospital from January 2019 to December 2021 were reviewed retrospectively. To quantitatively compare the effects of synthetic CT, we collect",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S202,37864370,10.1002/jmri.29072,2024,Handling Missing MRI Data in Brain Tumors Classification Tasks: Usage of Synthetic Images vs. Duplicate Images and Empty Images.,Diagnostic accuracy / reader study,Retrospective GAN synthesis study: three Pix2Pix-GAN models generate missing T1WI/T2WI/FLAIR for brain tumor (LGG vs HGG) classification; three-reader real-vs-fake visual Turing test on 81 images; internal test set plus independent BraTS 2019 external test,QUADAS-2,full text,3,,yes,Unclear,We retrospectively collected MRI data of 224 patients with brain tumors who were scanned at the Tel Aviv Sourasky Medical Center between 2008 and 2021.,"Retrospective single-institution collection with stated inclusion criteria, but consecutive/random sampling is not reported, and how the 81 reader-test images were selected is not described.",Low,The readers were asked to label each image as generated or real image.,"The real-vs-fake judgment is blinded by design (readers do not know which images are synthetic), and quantitative evaluation used a held-out internal test set plus a fully independent public dataset (BraTS).",Low,The PSNR and SSIM measures were extracted in order to evaluate the similarity between the generated and true images.,"Truth is defined by the actually acquired sequences (independent of the generative model) for synthesis fidelity, and by established tumor-grade labels for classification, avoiding incorporation bias.",Low,"Exclusion criteria were: substantial imaging artifacts, as detected by visual assessment (36 patients excluded).","All sequences come from the same retrospective examinations (zero interval), the same reference applies to all cases, and exclusions (36 for artifacts) are reported and explained.",Low,"The MRI data were acquired during patients’ routine clinical assessments, at different sites, with different MRI vendors and systems, and with various acquisition parameters","Clinically acquired brain tumor MRI from routine assessments plus the multi-institutional BraTS dataset matches the human brain, clinically relevant setting.",High,"Three image-to-image translation generative-adversarial-network (Pix2Pix-GAN) models were trained on the local-dataset, to generate T1WI, T2WI, and FLAIR images.","The index method is cross-contrast image synthesis (image-to-image translation) to replace missing sequences, not reconstruction from undersampled k-space, so it is clearly mismatched to the review's index test.",Low,The similarity between the generated and the original images was evaluated using the peak-signal-to-noise-ratio (PSNR) and the structural-similarity-index-measure (SSIM).,Comparing synthetic images against the truly acquired counterpart sequences is an appropriate and clinically relevant fidelity reference for this task.,yes,s of Pix2pix-GAN models and Resnet152 models are available at https://github.com/yaelhm/ Handling-missing-MRI-data-in-brain-tumors-classificationtasks. obta,yes,"37, high-grade-glioma (HGG) = 187) and 335 patients (public-dataset (BraTS); LGG = 76, HGG = 259). The local-dataset was divided into training (",BRATS;BraTS;brats,Expert reader consensus,retrospective,both stated,"ng MRI sequences in deep learning segmentation of brain metastases: A multicenter study. NPJ Digit Med 2021;4(1):1-7. 18. Azad R, Khosravi N, Dehghan",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,Appraised in the post-registration round (2026-08-07) and independently verified by the three reviewers (2026-08-07); ratings confirmed without change.
S203,,10.1109/access.2024.3364699,2024,HARA-GAN: Hybrid Attention and Relative Average Discriminator Based Generative Adversarial Network for MR Image Reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S204,39887812,10.1002/jmri.29682,2025,Application of Anti-Motion Ultra-Fast Quantitative MRI in Neurological Disorder Imaging: Insights From Huntington's Disease.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Conventional/standard-of-care acquisition,both stated,single-centre,al This study was approved by the Institutional Ethics Committee of our institution. All participants provided written informed consent prior to scanning,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S205,39424209,10.1016/j.mri.2024.110252,2025,Bayesian merged utilization of GRAPPA and SENSE (BMUGS) for in-plane accelerated reconstruction increases fMRI detection power.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,RI research could benefit on a larger scale with contributions to the human connectome project. Both BMUGS and MUGS does not incorporate denoising or smoo,human connectome,Fully sampled acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S206,39290071,10.1002/mrm.30278,2025,Denoising of dual-VENC PC-MRI with large high/low VENC ratios.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"3 Implementation** We implemented all algorithms in Python, and the code is publicly available at github.com/JanaBrunatova/ dual-VENC_denoising. The wavelet method",not stated,,,Stated ground truth (unspecified),not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S207,40436128,10.1016/j.neuroimage.2025.121297,2025,Diffusion based multi-domain neuroimaging harmonization method with preservation of anatomical details.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"e were obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database (adni.loni.usc.edu). As such, the investigators within the",ADNI;adni,Stated ground truth (unspecified),retrospective,multi-centre,"ging harmonization method with preservation of anatomical details. In multi-center neuroimaging studies, the technical variability caused by the batch d",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S208,40915097,10.1016/j.cmpb.2025.109045,2025,Enhancing reconstruction-based out-of-distribution detection in brain MRI with model and metric ensembles.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"model, including the model weights, is publicly available at https:// github.com/evihuijben/ood_detection_mri. ##### **2. Methods** ##### _2.1. Data_ We used the publicly ava",yes,egarding ethical approval are stated in the license attached with the open-access datasets. ##### **Declaration of Generative AI and AI-assisted technologies,,Stated ground truth (unspecified),retrospective,not stated,on. ##### **Ethical standards** This research study was conducted retrospectively using human subject data made available in open access. Details re,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S209,39847946,10.1016/j.compbiomed.2025.109660,2025,Guided reconstruction with conditioned diffusion models for unsupervised anomaly detection in brain MRIs.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"maly detection methods. The code for our work is available at https://github.com/FinnBehrendt/Conditioned-Diffusion-Models-UAD. - Humans - Brain / diagnostic imaging - Image Processing, Computer-As",yes,"nce, with the Dice score improved by 11.9%, 20.0%, and 44.6%, for the BraTS, ATLAS and MSLUB data sets, respectively, while maintaining competiti",BRATS;BraTS;IXI;brats;ixi,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S210,40275620,10.1002/mrm.30512,2025,Higher spatial resolution and sensitivity in whole brain functional MRI at 7T using 3D EPI accelerated with variable density CAIPI sampling and temporal random walk.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,ipal component analysis. The reconstruction was implemented using the open source code by Ricardo Otazo (https://cai2r.net/resources /ls-reconstruction,not stated,,,Not stated,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S211,39233495,10.1002/mrm.30266,2025,Motion and temporal B0-shift corrections for QSM and R 2 * mapping using dual-echo spiral navigators and conjugate-phase reconstruction.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,both stated,not stated,cal harmonics approximation model. ## **2.5 GRE reconstruction with retrospective motion and 𝚫B0 corrections** The acquired 3D-ME-GRE k-space lines,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S212,40089979,10.1002/mp.17747,2025,Quantitative susceptibility mapping via deep neural networks with iterative reverse concatenations and recurrent modules.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"R<sup>2</sup> QSM networks and related codes can be found at: https://github.com/YangGaoUQ/IR2QSM. Furthermore, a recently proposed noise-adding module<sup>39</sup> w",not stated,,,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S213,40639972,10.3174/ajnr.a8728,2025,Slice-to-Volume Reconstruction of Fetal Brain MR Imaging in Clinical Practice.,Diagnostic accuracy / reader study,Prospective single-center clinical feasibility pilot of an automated slice-to-volume reconstruction (SVR) pipeline for fetal brain MRI at 1.5T; 22 pregnant women; two pediatric neuroradiologists rated SVR vs standard-of-care 2D T2-SSFSE on 5-point scales,QUADAS-2,full text,2,22,yes,High,enrolled nonconsecutive pregnant women undergoing clinical fetal MRI examinations at Cincinnati Childrens’ Hospital Medical Center imaged for suspected brain anomalies,"Explicitly nonconsecutive enrollment, with SVR sequences added at the clinical radiologist's discretion based on indication, scheduling, and patient tolerance - a discretionary convenience sample prone to selection bias.",High,"This study was also subject to bias given the cohort selection process, lack of radiologist blinding to the type of images viewed","Readers were unblinded to whether they viewed SVR or SOC images, and SVR images were reviewed shortly after the SOC acquisition and review, allowing expectation bias in the ratings.",High,"the ability of 3D SVR to reproduce pathology seen on SOC (1 ¼ poor, 5 ¼ excellent)","Truth for pathology reproduction is defined by the SOC images as read unblinded by the same readers in side-by-side comparison, with no independent verification - incorporation-type bias in the reference interpretation.",Low,Reconstruction was completed successfully in all cases.,"SOC and SVR input stacks were acquired within the same examination (effectively zero interval), reconstruction succeeded in all 22 patients, and all were included in the image-quality analysis (44 evaluations); the single PACS transfer lapse affected only source images.",Low,Only single-gestation pregnancies undergoing the fetal brain malformation clinical MRI examination protocol were selected.,"Human fetal brain MRI in a routine clinical diagnostic workflow, including 68% with intracranial anomalies, is a clinically relevant brain MRI population, albeit a specialized one.",Unclear,Slice-to-volume reconstruction (SVR) is used to generate 3D isotropic high-resolution MR images from multiple 2D stacks to correct for fetal motion.,"SVR is genuine volumetric reconstruction (motion-corrected super-resolution from acquired 2D slices) but is registration/model-based rather than DL reconstruction from undersampled k-space; deep learning mainly automates brain localization/masking, so the match to the review's index test is partial.",Low,"In addition to standard of care (SOC), which includes 2D T2-single-shot fast spin echo (SSFSE) contiguous images at 3–4 mm slice thickness",A separately acquired standard-of-care clinical sequence is a clinically relevant comparator for assessing whether the reconstructed volumes preserve diagnostic content.,yes,"and 3D SVR reconstruction by using Auto Brain Reconstruction (https://github.com/SVRTK/auto-proc-svrtk).<sup>5,7</sup> Reconstruction time for each case was automatically logged on the rem",not stated,,,Expert reader consensus,both stated,both stated,"in the diagnosis of fetal brain abnormalities in utero (MERIDIAN): a multicentre, prospective cohort study. Lancet 2017;389:538–46 CrossRef Medline",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,Appraised in the post-registration round (2026-08-07) and independently verified by the three reviewers (2026-08-07); ratings confirmed without change.
S214,,10.1007/s10586-026-06180-z,2026,Bald Uakari Algorithm: a novel nature-inspired metaheuristic for missing pixel imputation in medical images,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"stness and versatility. The brain MRI images were obtained from the BraTS (Brain Tumor Segmentation) Challenge dataset, which contains multimod",BRATS;BraTS,Conventional/standard-of-care acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S215,40758495,10.1109/tmi.2025.3595421,2026,Diff-Def: Diffusion-Generated Deformation Fields for Conditional Atlases.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,I. We train all networks on an A100 80GB GPU with Pytorch. The source code is publicly available.<sup>1</sup> ## _C. Baselines_ We compare our method to five rela,yes,te-of-the-art atlas generation methods using brain MR images from the UK Biobank. Our method generates highly realistic atlases with smooth transforma,UK Biobank,Conventional/standard-of-care acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S216,41794343,10.1016/j.mri.2026.110656,2026,Improved image quality and reduced acquisition time in brain MRI using deep learning-based reconstruction: A quantitative and subjective assessment compared to standard MPRAGE in 0.55 T MRI.,Diagnostic accuracy / reader study,Prospective single-center intra-individual paired comparison at 0.55 T: DL variational-network reconstruction of undersampled k-space MPRAGE vs standard parallel-imaging MPRAGE in 30 patients; quantitative SNR/CNR plus blinded three-reader 5-point Likert assessment,QUADAS-2,full text,3,30,yes,Unclear,"Thirty adult patients (mean age: 66 ± 13.6 years; 18 males, 12 females) undergoing clinically indicated MRI of the brain were prospectively enrolled between September 3, 2024, and November 22, 2024.","Prospective enrollment of clinically indicated brain MRI patients irrespective of diagnosis, but consecutive or random sampling within the recruitment window is not stated.",Low,All radiologists were blinded to the reconstruction technique (standard vs. DL).,"Three independent readers of varying experience rated images blinded to reconstruction type using predefined criteria, and the network was trained on separate 1.5T/3T volunteer datasets, precluding test-data leakage; residual concern is possible de facto recognizability of the higher-resolution DL images and low inter-reader ICC.",Low,Each patient underwent two consecutive acquisitions during a single session. The first scan was the routinely used 3D sagittal T1-weighted MPRAGE sequence using a standard parallel imaging reconstruction.,"The separately acquired standard-of-care MPRAGE serves as the comparator and was interpreted blind to the index reconstruction; however no fully sampled ground truth of the accelerated acquisition exists, so fine-scale fidelity errors cannot be fully excluded.",Low,Only cases with complete paired measurements for both the standard and the DL-based reconstruction were included in the analysis. All 30 patients met this criterion and were included.,"Both acquisitions were performed consecutively in the same session (zero interval), the same comparator applied to all, and all 30 enrolled patients were analyzed with no exclusions.",Low,Patients were included irrespective of their underlying neurological diagnosis,"Adult patients undergoing clinically indicated brain MRI on a clinical low-field system directly match the review's human brain, clinically relevant setting.",Low,a DL-based reconstruction generated from undersampled k-space data using a variational-network architecture,This is exactly the review's index test: deep-learning reconstruction of undersampled k-space brain MRI deployed prospectively on the scanner in routine clinical use.,Low,comparing DL-reconstructed MPRAGE with standard MPRAGE using comparable acquisition geometry and timing parameters.,A same-session standard-of-care MPRAGE with matched geometry and timing is a clinically relevant reference for judging the safety and quality of the DL reconstruction.,not stated,,yes,"ider B, Radmanesh A, Kim S, Jeong G, Ko J, et al. Results of the 2020 fastMRI challenge for machine learning MR image reconstruction. IEEE Trans Me",fastMRI,Fully sampled acquisition,prospective,single-centre,"### _2.1. Study design and patient population_ This prospective, single-center study was conducted to evaluate the – impact of deep learning based i",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,Appraised in the post-registration round (2026-08-07) and independently verified by the three reviewers (2026-08-07); ratings confirmed without change.
S217,40945172,10.1016/j.media.2025.103763,2026,IterMask3D: Unsupervised anomaly detection and segmentation with test-time iterative mask refinement in 3D brain MRI.,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"s, consistently demonstrate the effectiveness of our proposed method. Code is available at https://github.com/ZiyunLiang/IterMask3D. - Humans - Magnetic Reso",yes,"res shown are plotted from four randomly chosen samples, two from the BraTS FLAIR sequence (left) and two from the BraTS T2 sequence (right). For",ADNI;BRATS;BraTS;OASIS;adni;brats,Stated ground truth (unspecified),not stated,single-centre,"rtifact detection, we test our model on a private dataset acquired at our institution, consisting of 16 subjects scanned with T2-weighted imaging, wherein",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S218,,10.1109/tmi.2026.3673956,2026,Learning Fourier-Constrained Diffusion Bridges for MRI Reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"-diffusion and diffusion priors. Code for FDB is available at https://github.com/icon-lab/FDB. _Contributions:_ - To our knowledge, FDB is the first diffusion b",yes,## _A. Datasets_ Experiments were performed on brain MRI data from IXI<sup>1</sup> and fastMRI [79]. Subjects were split into non-overlappin,FASTMRI;FastMRI;IXI;fastMRI;ixi,Fully sampled acquisition,retrospective,not stated,ve 5 virtual coils that preserved over 90% of the data variance [80]. Retrospective undersampling at rates _R_ = 4 − 10 was used with normal density acr,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S219,,10.3390/magnetochemistry12010014,2026,Simulation Data-Based Dual Domain Network (Sim-DDNet) for Motion Artifact Reduction in MR Images,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,e were obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database (https://adni.loni.usc.edu (accessed on 29 June 2023)). As,ADNI;adni,Expert reader consensus,both stated,multi-centre,"rrupted data acquired on actual MR scanners, as well as evaluation on multicenter datasets obtained under different scanner vendors, imaging protocols,",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S220,,10.1109/access.2026.3712275,2026,Technical Feasibility of an Efficient Deep Learning-Based Super-Resolution Method for 3D MR Angiography,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"orks,” 2018, Accessed: Sep. 23,<br>2023. [Online]. Available: https://github.com/imatge-upc/3D-||CAL+CHEMISTRY,COMPUTATIONAL+BIOLOGY+AND+<br>BIOINFORMATICS,TECHNOLOGY.| |[17]|GAN-superresolution<br>C Szeed S Ioffe V Vanhoucke and A A Alem",not stated,,,Stated ground truth (unspecified),not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S221,,10.1117/12.845507,2010,Comprehensive quantitative image quality evaluation of compressed sensing MRI reconstructions using a weighted perceptual difference model,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,
S222,,10.1002/jmri.25149,2016,Diagnostic quality assessment of compressed sensing accelerated magnetic resonance neuroimaging,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,3,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,not stated,,not stated,,,Fully sampled reference,retrospective,not stated,"the point of convergence. For CS reconstructions, k-space data were retrospectively undersampled using a variable density sampling scheme with 6% of the",not stated,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,"n_readers evidence: oiled gradient echo (SPGR) sequences. In a series of blinded studies, three radiologists independently evaluated CS, PI (GRAPPA), and low-resolution images at"
S223,,10.1016/j.mri.2016.11.020,2017,Artificial neural network for suppression of banding artifacts in balanced steady-state free precession MRI,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Fully sampled reference,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S224,,10.1016/j.mri.2017.07.016,2017,Modified-BRISQUE as no reference image quality assessment for structural MR images,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,yes,"nce quality ratings from Alzheimer's Disease Neuroimaging Initiative (ADNI) at high sensitivity and specificity (N85%). However, their method ma",ADNI,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,
S225,,10.1002/jmri.25970,2018,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Brain MRI,Diagnostic accuracy / reader study,"post-lock update (recovered full text, screened 2026-08)",QUADAS-2,full text,2,,yes - full-text evidence of human readers,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,Pending,,,not stated,,not stated,,,Not stated,both stated,not stated,"contrast-enhanced brain MRI using a deep learning method. Study type: Retrospective, crossover. Population: Sixty patients receiving clinically indicat",yes,pending - post-lock update awaiting three-reviewer QUADAS-2 appraisal,,,,"n_readers evidence: M). For the test set comprised of 20 patients with mixed indications, two neuroradiologists scored blindly and independently for the three postcontrast image set"
S226,,10.1007/s00330-019-06319-0,2019,Compressed sensing MRI of different organs ready for clinical daily practice,Algorithmic / methodological reconstruction study,"post-lock update (recovered full text, screened 2026-08)",Reproducibility & robustness checklist,full text,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,not stated,,,Conventional reconstruction comparator,retrospective,not stated,oard approval was obtained (CCER 2016-01821). ##### Methodology - retrospective - cross-sectional study - performed at one institution ## Refer,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,
