file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
2019 - 7.0T ultrahigh-field MRI directly visualized the pedunculopontine nucleus in Parkinson's disease patients. - PMID 30994703.md,30994703,10.6061/clinics/2019/e573,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,"7.0T ultrahigh-field MRI directly visualized the pedunculopontine nucleus in Parkinson's disease patients. | OBJECTIVES: The pedunculopontine nucleus (PPN) is considered a promising new target for neurostimulation in Parkinson's disease (PD) patients with pos | However, the PPN is typically difficult to visualize with magnetic resonance imaging (MRI) at clinical field strengths, which greatly limits the PPN a"
2019 - A Bayesian approach for 4D flow imaging of aortic valve in a single breath-hold. - PMID 30265770.md,30265770,10.1002/mrm.27386,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A Bayesian approach for 4D flow imaging of aortic valve in a single breath-hold. | PURPOSE: To develop and validate a data processing technique that allows phase-contrast MRI-based 4D flow imaging of the aortic valve in a single brea | THEORY AND METHODS: To regularize the ill-posed inverse problem, we extend a recently proposed 2D phase-contrast MRI method to 4D flow imaging."
2019 - A Classification Algorithm by Combination of Feature Decomposition and Kernel Discriminant Analysis (KDA) for Automatic - PMID 32082407.md,32082407,10.1155/2019/1437123,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"A Classification Algorithm by Combination of Feature Decomposition and Kernel Discriminant Analysis (KDA) for Automatic MR Brain Image Classification  | This paper would propose an automatic classification technique based on feature decomposition and kernel discriminant analysis (KDA) for classificatio | Experimental results demonstrate that classification accuracy (ACC) of 90.41%, 84.29%, and 65.94% can be achieved for classification of AD vs."
2019 - A Comparison of Partial Volume Correction Techniques for Measuring Change in Serial Amyloid PET SUVR. - PMID 30475770.md,30475770,10.3233/jad-180749,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A Comparison of Partial Volume Correction Techniques for Measuring Change in Serial Amyloid PET SUVR. Longitudinal PET studies in aging and Alzheimer'
2019 - A Deep Learning Framework for Noise Component Detection from Resting-State Functional MRI - SPRINGER 10.1007_978-3-030-32248-9_84.md,,10.1007/978-3-030-32248-9_84,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"Our proposed method is more general, hypothesis-free, fast (<1 s for single component classification), and accurate (>97% accuracy)."
2019 - A Deep Learning-Based Approach to Reduce Rescan and Recall Rates in Clinical MRI Examinations. - PMID 30606726.md,30606726,10.3174/ajnr.a5926,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,The deep learning classification performance was compared with that of 4 technologists and 5 radiologists in 49 test series with low and moderate moti
2019 - A Dementia Classification Framework Using Frequency and Time-Frequency Features Based on EEG Signals. - PMID 30951473.md,30951473,10.1109/tnsre.2019.2909100,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"A Dementia Classification Framework Using Frequency and Time-Frequency Features Based on EEG Signals. | This paper proposes a supervised classification framework that uses EEG signals to classify healthy controls (HC) and AD participants. | The framework consists of data augmentation, feature extraction, K-nearest neighbor (KNN) classification, quantitative evaluation, and topographic vis"
2019 - A Higher-Order Polynomial Method for SPECT Reconstruction. - PMID 30489263.md,30489263,10.1109/tmi.2018.2881919,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"Specifically, we represent the data acquisition of SPECT imaging by using an integral equation model, approximate the solution of the underlying integ"
"2019 - A Multicenter, Scan-Rescan, Human and Machine Learning CMR Study to Test Generalizability and Precision in Imaging Bioma - PMID 31547689.md",31547689,10.1161/circimaging.119.009214,exclude,0.9,wrong_population,Non-brain imaging target (\bcardiac\b) with no application to human brain MRI.,non-brain imaging (\bcardiac\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"BACKGROUND: Automated analysis of cardiac structure and function using machine learning (ML) has great potential, but is currently hindered by poor ge"
2019 - A Novel Distributed Multitask Fuzzy Clustering Algorithm for Automatic MR Brain Image Segmentation. - PMID 30911929.md,30911929,10.1007/s10916-019-1245-1,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"A Novel Distributed Multitask Fuzzy Clustering Algorithm for Automatic MR Brain Image Segmentation. | Artificial intelligence algorithms have been used in a wide range of applications in clinical aided diagnosis, such as automatic MR image segmentation | In recent years, many machine learning-based automatic MR brain image segmentation methods have been proposed as auxiliary methods of medical image an"
2019 - A Novel MRI Tool for Evaluating Cortical Bone Thickness of the Proximal Femur. - PMID 31128580.md,31128580,,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A Novel MRI Tool for Evaluating Cortical Bone Thickness of the Proximal Femur. | Herein, we aim to develop a three-dimensional magnetic resonance imaging (MRI) method to assess cortical bone thickness and assess the ability of the  | METHODS: Eighty-nine patients underwent hip magnetic resonance imaging."
2019 - A Novel Method of Locating Foramen Ovale for Percutaneous Approaches to the Trigeminal Ganglion. - PMID 31337178.md,31337178,,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A Novel Method of Locating Foramen Ovale for Percutaneous Approaches to the Trigeminal Ganglion. BACKGROUND: For patients with trigeminal neuralgia wh
2019 - A Parameter-Insensitive Solution for Hybrid Compressed Sensing and Parallel Imaging - IEEEXPLORE 9043993.md,,10.1109/rcar47638.2019.9043993,flagged,0.9,insufficient_information,"Proposes or evaluates a methodology for assessing safety, artifacts, or fidelity of brain MRI reconstruction.",brain MRI reconstruction,AI/DL reconstruction or quality assessment framework,ground truth / baseline metrics,reconstruction fidelity / artifact detection / safety assessment,technical evaluation study,"A Parameter-Insensitive Solution for Hybrid Compressed Sensing and Parallel Imaging In this paper, an efficient and robust approach is proposed to rec | The proposed method adopts the first-order primal-dual framework to solve the $L_{2}-L_{1}$ compressed sensing parallel imaging reconstruction problem | The experimental results show that the proposed method is able to remove undersampling artifact, preserve details and is insensitive to the parameters"
2019 - A Preliminary Investigation Report on Using Probabilistic Fiber Tractography to Track Human Auditory Pathways. - PMID 30885875.md,30885875,10.1016/j.wneu.2019.03.066,flagged,0.9,insufficient_information,"Proposes or evaluates a methodology for assessing safety, artifacts, or fidelity of brain MRI reconstruction.",brain MRI reconstruction,AI/DL reconstruction or quality assessment framework,ground truth / baseline metrics,reconstruction fidelity / artifact detection / safety assessment,technical evaluation study,"Radiologists and neurologists often fail to reconstruct the complex auditory pathways when applying the most commonly used approach, deterministic fib | Tracking rate, reliability of results, fiber volume, fiber length, and fractional anisotropy values were considered in assessing reliability and sensi"
2019 - A Spatiotemporal-Constrained Sorting Method for Motion-Robust 4D-MRI A Feasibility Study. - PMID 30321690.md,30321690,10.1016/j.ijrobp.2018.10.004,exclude,0.9,wrong_population,Non-brain imaging target (\babdominal\b) with no application to human brain MRI.,non-brain imaging (\babdominal\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"In a computer simulation study, 6 abdominal motion scenarios, including 2 cosine and 4 patient breathing motion patterns, were studied."
2019 - A Transfer Learning Approach for Malignant Prostate Lesion Detection on Multiparametric MRI. - PMID 31221034.md,31221034,10.1177/1533033819858363,exclude,0.9,wrong_population,Non-brain imaging target (\bprostate\b) with no application to human brain MRI.,non-brain imaging (\bprostate\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"A Transfer Learning Approach for Malignant Prostate Lesion Detection on Multiparametric MRI. | PURPOSE: In prostate focal therapy, it is important to accurately localize malignant lesions in order to increase biological effect of the tumor regio | In this work, we proposed a transfer learning-based deep learning approach, for classification of prostate lesions in multiparametric magnetic resonan"
"2019 - A Triple-Classification Radiomics Model for the Differentiation of Primary Chordoma, Giant Cell Tumor, and Metastatic Tu - PMID 30430686.md",30430686,10.1002/jmri.26238,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,"POPULATION: A total of 120 pathologically confirmed sacral patients (54 SCs, 30 SGCTs, and 36 SMTs) were retrospectively analyzed and divided into a t | DATA CONCLUSION: Our 3.0T MRI-based triple-classification radiomics model is feasible to differentiate SC, SGCT, and SMT, which may be applied to impr"
2019 - A closer look at right ventricular 3D volume quantification by transthoracic echocardiography and cardiac MRI. - PMID 30954234.md,30954234,10.1016/j.crad.2019.03.005,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A closer look at right ventricular 3D volume quantification by transthoracic echocardiography and cardiac MRI. | AIM: To compare right ventricular (RV) volumetry using state-of-the-art three-dimensional (3D) transthoracic echocardiography (3DE) and cardiac magnet | CONCLUSION: RV-EF can be assessed reliably using transthoracic 3DE in patients with good image quality; however, absolute RV volumes measured by 3DE s"
"2019 - A collaborative computer aided diagnosis (C-CAD) system with eye-tracking, sparse attentional model, and deep learning. - PMID 30399507.md",30399507,10.1016/j.media.2018.10.010,exclude,0.9,wrong_population,Non-brain imaging target (\bprostate\b) with no application to human brain MRI.,non-brain imaging (\bprostate\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,We have also shown that our framework is generalizable to more complex applications such as prostate cancer screening with multi-parametric magnetic r
2019 - A comparison of automated lesion segmentation approaches for chronic stroke T1-weighted MRI data. - PMID 31350795.md,31350795,10.1002/hbm.24729,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"A comparison of automated lesion segmentation approaches for chronic stroke T1-weighted MRI data. | Accurate stroke lesion segmentation is a critical step in the neuroimaging processing pipeline for assessing the relationship between poststroke brain | Many multimodal segmentation algorithms have been developed for acute stroke neuroimaging, yet few algorithms are effective with only a single T1-weig"
2019 - A comparison of denoising pipelines in high temporal resolution task-based functional magnetic resonance imaging data. - PMID 31119818.md,31119818,10.1002/hbm.24635,flagged,0.9,insufficient_information,"Proposes or evaluates a methodology for assessing safety, artifacts, or fidelity of brain MRI reconstruction.",brain MRI reconstruction,AI/DL reconstruction or quality assessment framework,ground truth / baseline metrics,reconstruction fidelity / artifact detection / safety assessment,technical evaluation study,"A comparison of denoising pipelines in high temporal resolution task-based functional magnetic resonance imaging data. | It has been known for decades that head motion/other artifacts affect the blood oxygen level-dependent signal. | Recent recommendations predominantly focus on denoising resting state data, which may not apply to task data due to the different statistical relation"
2019 - A decade of test-retest reliability of functional connectivity A systematic review and meta-analysis. - PMID 31494250.md,31494250,10.1016/j.neuroimage.2019.116157,background_only,0.9,review_for_background,"Review/editorial/protocol covering relevant neuroimaging, MRI reconstruction, or quality evaluation topic, retained for background.",brain MRI / neuroimaging,MRI reconstruction or image quality evaluation literature,narrative/systematic synthesis,background knowledge synthesis,review / protocol,"A decade of test-retest reliability of functional connectivity: A systematic review and meta-analysis. | BACKGROUND: Once considered mere noise, fMRI-based functional connectivity has become a major neuroscience tool in part due to early studies demonstra | This entailed (1) a meta-analytic estimate of reliability and (2) a review of factors influencing reliability."
2019 - A deep learning approach to estimation of subject-level bias and variance in high angular resolution diffusion imaging. - PMID 30926560.md,30926560,10.1016/j.mri.2019.03.021,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A deep learning approach to estimation of subject-level bias and variance in high angular resolution diffusion imaging. | The ability to evaluate empirical diffusion MRI acquisitions for quality and to correct the resulting imaging metrics allows for improved inference an
2019 - A deep learning framework for efficient analysis of breast volume and fibroglandular tissue using MR data with strong ar - PMID 30838510.md,30838510,10.1007/s11548-019-01928-y,exclude,0.9,wrong_population,Non-brain imaging target (\bbreast\b) with no application to human brain MRI.,non-brain imaging (\bbreast\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"A deep learning framework for efficient analysis of breast volume and fibroglandular tissue using MR data with strong artifacts. | PURPOSE: The main purpose of this work is to develop, apply, and evaluate an efficient approach for breast density estimation in magnetic resonance im | METHODS: We present a pipeline for breast density estimation, which consists of intensity inhomogeneity correction, breast volume segmentation, nipple"
2019 - A deep learning radiomics model for preoperative grading in meningioma. - PMID 31153553.md,31153553,10.1016/j.ejrad.2019.04.022,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"OBJECTIVES: To noninvasively differentiate meningioma grades by deep learning radiomics (DLR) model based on routine post-contrast MRI. | METHODS: We enrolled 181 patients with histopathologic diagnosis of meningioma who received post-contrast MRI preoperative examinations from 2 hospita | CONCLUSIONS: Using routine MRI data, we developed a DLR model with good performance for noninvasively individualized prediction of meningioma grades, "
2019 - A divide-and-conquer approach to compressed sensing MRI. - PMID 31306732.md,31306732,10.1016/j.mri.2019.06.014,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A divide-and-conquer approach to compressed sensing MRI. | In traditional CS-MRI inversion methods, the fact that the energy within the Fourier measurement domain is distributed non-uniformly is often neglecte | As a result, more densely sampled low frequency information tends to dominate penalization schemes for reconstructing MRI at the expense of high frequ"
2019 - A fast segmentation-free fully automated approach to white matter injury detection in preterm infants. - PMID 29981051.md,29981051,10.1007/s11517-018-1829-9,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"A fast segmentation-free fully automated approach to white matter injury detection in preterm infants. | However, detecting WMI in magnetic resonance (MR) images of preterm neonate brains using traditional WM segmentation-based methods is difficult mainly | Hence, we propose a segmentation-free, fast, unsupervised, atlas-free WMI detection method."
2019 - A fiber coherence index for quality control of B-table orientation in diffusion MRI scans. - PMID 30682379.md,30682379,10.1016/j.mri.2019.01.018,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A fiber coherence index for quality control of B-table orientation in diffusion MRI scans. | PURPOSE: The diffusion MRI ""b-vector"" table describing the diffusion sensitization direction can be flipped and permuted in dimension due to different"
2019 - A framework for Fourier-decomposition free-breathing pulmonary 1 H MRI ventilation measurements. - PMID 30362609.md,30362609,10.1002/mrm.27527,exclude,0.9,wrong_population,Non-brain imaging target (\blung\b) with no application to human brain MRI.,non-brain imaging (\blung\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"2D 1 H MRI series were segmented by enforcing the spatial similarity between adjacent images and the right-to-left lung volume-ratio. | The segmented lung series were co-registered using a coarse-to-fine deformable registration framework that used dual optimization techniques. | Lung segmentation and registration accuracy were evaluated by comparing algorithm and manual lung-masks, deformed manual lung-masks, and fiducials in "
2019 - A framework for motion correction of background suppressed arterial spin labeling perfusion images acquired with simulta - PMID 30311694.md,30311694,10.1002/mrm.27499,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,"Although use of the M0 image as the reference for registration allowed 82% improvement of motion estimation for through-plane motion, it still led to "
2019 - A fully automated method for accurate measurement of geometrical distortion in magnetic resonance imaging of a 3D-lattic - PMID 30393141.md,30393141,10.1016/j.mri.2018.10.011,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A fully automated method for accurate measurement of geometrical distortion in magnetic resonance imaging of a 3D-lattice phantom. | number and distance between grids and thickness of its branches) we developed in-house a software for simulating 2D or 3D volume images of the phantom
2019 - A functional connectome phenotyping dataset including cognitive state and personality measures - SPRINGER 10.1038_sdata.2018.307.md,,10.1038/sdata.2018.307,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A functional connectome phenotyping dataset including cognitive state and personality measures Design Type(s) behavioral data analysis objective • dat | We provide multimodal magnetic resonance imaging (MRI) data and a broad set of state and trait phenotypic assessments: mind-wandering, personality tra | The scanning session included four 15.5-min resting-state functional MRI runs using a multiband EPI sequence and a hig h-resolution structural scan us"
2019 - A fusion algorithm for medical structural and functional images based on adaptive image decomposition - SPRINGER 10.1007_s11042-019-07968-5.md,,10.1007/s11042-019-07968-5,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,A fusion algorithm for medical structural and functional images based on adaptive image decomposition Multimodal medical image fusion has been widely 
2019 - A general framework for optimizing arterial spin labeling MRI experiments. - PMID 30588656.md,30588656,10.1002/mrm.27580,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A general framework for optimizing arterial spin labeling MRI experiments. | PURPOSE: Arterial spin labeling (ASL) MRI is a non-invasive perfusion imaging technique that is inherently SNR limited, so scan protocols ideally need"
"2019 - A high duty-cycle, multi-channel, power amplifier for high-resolution radiofrequency encoded magnetic resonance imaging. - PMID 31218552.md",31218552,10.1007/s10334-019-00763-1,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A high duty-cycle, multi-channel, power amplifier for high-resolution radiofrequency encoded magnetic resonance imaging. | OBJECTIVE: A radiofrequency (RF) power amplifier is an essential component of any magnetic resonance imaging (MRI) system. | Unfortunately, no commercial amplifier exists to fulfill the needs of the transmit array spatial encoding (TRASE) MRI technique, requiring high duty c"
2019 - A joint deep learning model to recover information and reduce artifacts in missing-wedge sinograms for electron tomograp - SPRINGER 10.1038_s41598-019-49267-x.md,,10.1038/s41598-019-49267-x,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A joint deep learning model to recover information and reduce artifacts in missing-wedge sinograms for electron tomography and beyond We present a joi
2019 - A kernel-based image denoising method for improving parametric image generation. - PMID 31022639.md,31022639,10.1016/j.media.2019.04.003,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"In the present study, we investigated whether diffusion-weighted magnetic resonance imaging (DW-MRI) data denoised using the proposed method can provi | We tested our image denoising method on in vivo DW-MRI data, and the result showed that the denoised DWI-MRI data obtained using the proposed method c"
2019 - A machine learning approach for distinguishing uterine sarcoma from leiomyomas based on perfusion weighted MRI parameter - PMID 30599861.md,30599861,10.1016/j.ejrad.2018.11.009,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A machine learning approach for distinguishing uterine sarcoma from leiomyomas based on perfusion weighted MRI parameters. | PURPOSE: To propose a computer-assisted method for distinguishing uterine sarcoma from leiomyomas based on perfusion weighted magnetic resonance imagi | All women underwent the standard MRI protocol with 3-Tesla MR imager (Magnetom Trio, Siemens, Erlangen, Germany) for assessment of myometrial masses, "
2019 - A method for correcting breathing-induced field fluctuations in T2 -weighted spinal cord imaging using a respiratory tra - PMID 30737825.md,30737825,10.1002/mrm.27664,exclude,0.9,wrong_population,Non-brain imaging target (\bspinal\b) with no application to human brain MRI.,non-brain imaging (\bspinal\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,"A method for correcting breathing-induced field fluctuations in T2*-weighted spinal cord imaging using a respiratory trace. | PURPOSE: Spinal cord MRI at ultrahigh field is hampered by time-varying magnetic fields associated with the breathing cycle, giving rise to ghosting a | Here, we suggest a correction approach based on linking the signal from a respiratory bellows to field changes inside the spinal cord."
2019 - A method to correct background phase offset for phase-contrast MRI in the presence of steady flow and spatial wrap-aroun - PMID 30431176.md,30431176,10.1002/mrm.27572,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A method to correct background phase offset for phase-contrast MRI in the presence of steady flow and spatial wrap-around artifact. | PURPOSE: Background phase offsets in phase-contrast MRI are often corrected using polynomial regression; however, correction performance degrades when | A total of 150 trials of a simulated phantom (75 with wrap-around artifact) and 125 phase-contrast MRI cines from 22 healthy subjects (48 with wrap-ar"
2019 - A model-guided dissociation between subcortical and cortical contributions to word recognition - SPRINGER 10.1038_s41598-019-41011-9.md,,10.1038/s41598-019-41011-9,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,"A model-guided dissociation between subcortical and cortical contributions to word recognition Neurocognitive studies of visual word recognition have  | Some of these studies related the orthographic neighborhood density of letter strings to the amount of hypothetical global lexical activity (GLA) in t | To further investigate this issue, we used GLA of words and nonwords from the multiple read-out model of visual word recognition (MROM) and related th"
2019 - A modified model can improve the accuracy of foetal weight estimation by magnetic resonance imaging. - PMID 30599867.md,30599867,10.1016/j.ejrad.2018.12.009,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A modified model can improve the accuracy of foetal weight estimation by magnetic resonance imaging. | PURPOSE: To determine whether birth weight can be reliably estimated using three-dimensional (3D) magnetic resonance imaging (MRI) foetal body volume  | METHOD: Foetuses between 37+5 weeks and 41 weeks of gestation were delivered within 7 days after MRI and ultrasound (US) examinations.
2019 - A multi-view pyramid network for skull stripping on neonatal T1-weighted MRI. - PMID 31425808.md,31425808,10.1016/j.mri.2019.08.025,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,"In conclusion, the proposed skull stripping network was robust on neonatal T1WI datasets and feasible in clinical applications."
2019 - A multiparametric MRI-based machine learning to distinguish between uterine sarcoma and benign leiomyoma comparison with - PMID 30471748.md,30471748,10.1016/j.crad.2018.10.010,exclude,0.9,wrong_population,Non-brain imaging target (\bpelvic\b) with no application to human brain MRI.,non-brain imaging (\bpelvic\b),imaging acquisition / processing,standard protocol,non-brain metrics,imaging study,Sixty-seven consecutive patients with uterine sarcoma or leiomyoma who underwent pelvic 3 T MRI and PET were included.
2019 - A multiparametric analysis based on DCE-MRI to improve the accuracy of parotid tumor discrimination. - PMID 31372671.md,31372671,10.1007/s00259-019-04447-9,exclude,0.9,wrong_intervention_or_index,Purely clinical diagnostic/prognostic study with no technical MRI reconstruction or safety evaluation contribution.,clinical patient cohort,standard clinical MRI assessment,clinical reference standard,clinical diagnostic/prognostic accuracy,clinical observational study,"PURPOSE: To explore the diagnostic efficiency of perfusion parameters alone or in combination based on quantitative DCE-MRI and DWI in the differentia | METHODS: In total, 112 patients with parotid masses were prospectively recruited in our hospital from August 2013 to March 2017. | All patients were evaluated with DCE-MRI and DWI before surgery."
2019 - A multivoxel pattern analysis framework with mutual connectivity analysis investigating changes in resting state connect - PMID 31189074.md,31189074,10.1016/j.mri.2019.06.001,exclude,0.85,wrong_intervention_or_index,Focuses on downstream image processing (segmentation/classification/registration) rather than MRI reconstruction safety or fidelity evaluation.,brain MRI dataset,segmentation/classification/registration model,competing algorithms,task accuracy (Dice/accuracy),algorithm evaluation,The pairwise connectivity measures provide a high-dimensional representation of connectivity profiles for subjects and are used as features for classi
2019 - A new blind source separation framework for signal analysis and artifact rejection in functional Near-Infrared Spectrosc - PMID 31203024.md,31203024,10.1016/j.neuroimage.2019.06.021,exclude,0.8,wrong_intervention_or_index,Does not present an AI/ML brain MRI reconstruction method or a reconstruction safety/fidelity evaluation methodology.,general neuroimaging / medical imaging,general imaging protocol / post-processing,standard practice,general diagnostic/technical outcome,observational / technical paper,A new blind source separation framework for signal analysis and artifact rejection in functional Near-Infrared Spectroscopy. In the analysis of functi
